Bitrate,Time
13.2,2023-04-27 14:14:12 CDT
36.7,2023-04-27 14:14:13 CDT
56.2,2023-04-27 14:14:14 CDT
99.7,2023-04-27 14:14:15 CDT
111.0,2023-04-27 14:14:16 CDT
97.6,2023-04-27 14:14:17 CDT
114.0,2023-04-27 14:14:18 CDT
103.0,2023-04-27 14:14:19 CDT
104.0,2023-04-27 14:14:20 CDT
102.0,2023-04-27 14:14:21 CDT
126.0,2023-04-27 14:14:22 CDT
104.0,2023-04-27 14:14:23 CDT
153.0,2023-04-27 14:14:24 CDT
137.0,2023-04-27 14:14:25 CDT
122.0,2023-04-27 14:14:26 CDT
126.0,2023-04-27 14:14:27 CDT
139.0,2023-04-27 14:14:28 CDT
145.0,2023-04-27 14:14:29 CDT
109.0,2023-04-27 14:14:30 CDT
114.0,2023-04-27 14:14:31 CDT
58.9,2023-04-27 14:14:32 CDT
115.0,2023-04-27 14:14:33 CDT
85.0,2023-04-27 14:14:34 CDT
94.8,2023-04-27 14:14:35 CDT
62.4,2023-04-27 14:14:36 CDT
90.8,2023-04-27 14:14:37 CDT
74.2,2023-04-27 14:14:38 CDT
116.0,2023-04-27 14:14:39 CDT
122.0,2023-04-27 14:14:40 CDT
133.0,2023-04-27 14:14:41 CDT
159.0,2023-04-27 14:14:42 CDT
153.0,2023-04-27 14:14:43 CDT
181.0,2023-04-27 14:14:44 CDT
163.0,2023-04-27 14:14:45 CDT
160.0,2023-04-27 14:14:46 CDT
139.0,2023-04-27 14:14:47 CDT
162.0,2023-04-27 14:14:48 CDT
147.0,2023-04-27 14:14:49 CDT
109.0,2023-04-27 14:14:50 CDT
106.0,2023-04-27 14:14:51 CDT
92.7,2023-04-27 14:14:52 CDT
64.7,2023-04-27 14:14:53 CDT
72.3,2023-04-27 14:14:54 CDT
76.3,2023-04-27 14:14:55 CDT
94.1,2023-04-27 14:14:56 CDT
73.2,2023-04-27 14:14:57 CDT
78.1,2023-04-27 14:14:58 CDT
39.2,2023-04-27 14:14:59 CDT
42.2,2023-04-27 14:15:00 CDT
65.6,2023-04-27 14:15:01 CDT
63.0,2023-04-27 14:15:02 CDT
47.9,2023-04-27 14:15:03 CDT
2.36,2023-04-27 14:15:04 CDT
68.3,2023-04-27 14:15:05 CDT
19.8,2023-04-27 14:15:06 CDT
0.287,2023-04-27 14:15:07 CDT
28.0,2023-04-27 14:15:08 CDT
86.4,2023-04-27 14:15:09 CDT
88.5,2023-04-27 14:15:10 CDT
4.24,2023-04-27 14:15:11 CDT
7.13,2023-04-27 14:15:12 CDT
12.5,2023-04-27 14:15:13 CDT
10.6,2023-04-27 14:15:14 CDT
43.5,2023-04-27 14:15:15 CDT
43.2,2023-04-27 14:15:16 CDT
0.199,2023-04-27 14:15:17 CDT
42.5,2023-04-27 14:15:18 CDT
96.8,2023-04-27 14:15:19 CDT
102.0,2023-04-27 14:15:20 CDT
82.8,2023-04-27 14:15:21 CDT
0.518,2023-04-27 14:15:22 CDT
13.9,2023-04-27 14:15:23 CDT
56.2,2023-04-27 14:15:24 CDT
18.1,2023-04-27 14:15:25 CDT
