Bitrate,Time
3.74,2023-04-28 16:02:11 CDT
4.78,2023-04-28 16:02:12 CDT
5.39,2023-04-28 16:02:13 CDT
5.18,2023-04-28 16:02:14 CDT
3.87,2023-04-28 16:02:15 CDT
6.92,2023-04-28 16:02:16 CDT
5.45,2023-04-28 16:02:17 CDT
5.0,2023-04-28 16:02:18 CDT
5.27,2023-04-28 16:02:19 CDT
5.3,2023-04-28 16:02:20 CDT
4.8,2023-04-28 16:02:21 CDT
6.02,2023-04-28 16:02:22 CDT
5.24,2023-04-28 16:02:23 CDT
6.31,2023-04-28 16:02:24 CDT
4.92,2023-04-28 16:02:25 CDT
3.41,2023-04-28 16:02:26 CDT
3.04,2023-04-28 16:02:27 CDT
1.45,2023-04-28 16:02:28 CDT
1.07,2023-04-28 16:02:29 CDT
3.0,2023-04-28 16:02:30 CDT
3.23,2023-04-28 16:02:31 CDT
2.87,2023-04-28 16:02:32 CDT
3.71,2023-04-28 16:02:33 CDT
1.1,2023-04-28 16:02:34 CDT
0.962,2023-04-28 16:02:35 CDT
2.52,2023-04-28 16:02:36 CDT
1.63,2023-04-28 16:02:37 CDT
2.51,2023-04-28 16:02:38 CDT
2.46,2023-04-28 16:02:39 CDT
3.3,2023-04-28 16:02:40 CDT
1.69,2023-04-28 16:02:41 CDT
3.37,2023-04-28 16:02:42 CDT
4.26,2023-04-28 16:02:43 CDT
4.55,2023-04-28 16:02:44 CDT
6.06,2023-04-28 16:02:45 CDT
8.41,2023-04-28 16:02:46 CDT
5.92,2023-04-28 16:02:47 CDT
7.65,2023-04-28 16:02:48 CDT
8.46,2023-04-28 16:02:49 CDT
7.36,2023-04-28 16:02:50 CDT
9.37,2023-04-28 16:02:51 CDT
10.5,2023-04-28 16:02:52 CDT
9.18,2023-04-28 16:02:53 CDT
9.54,2023-04-28 16:02:54 CDT
8.64,2023-04-28 16:02:55 CDT
7.82,2023-04-28 16:02:56 CDT
1.89,2023-04-28 16:02:57 CDT
3.05,2023-04-28 16:02:58 CDT
1.37,2023-04-28 16:02:59 CDT
1.52,2023-04-28 16:03:00 CDT
3.82,2023-04-28 16:03:01 CDT
3.87,2023-04-28 16:03:02 CDT
4.11,2023-04-28 16:03:03 CDT
3.52,2023-04-28 16:03:04 CDT
1.83,2023-04-28 16:03:05 CDT
1.07,2023-04-28 16:03:06 CDT
1.81,2023-04-28 16:03:07 CDT
2.52,2023-04-28 16:03:08 CDT
2.56,2023-04-28 16:03:09 CDT
2.67,2023-04-28 16:03:10 CDT
2.23,2023-04-28 16:03:11 CDT
3.45,2023-04-28 16:03:12 CDT
4.23,2023-04-28 16:03:13 CDT
4.92,2023-04-28 16:03:14 CDT
5.86,2023-04-28 16:03:15 CDT
6.55,2023-04-28 16:03:16 CDT
6.72,2023-04-28 16:03:17 CDT
6.79,2023-04-28 16:03:18 CDT
9.49,2023-04-28 16:03:19 CDT
7.94,2023-04-28 16:03:20 CDT
6.94,2023-04-28 16:03:21 CDT
7.92,2023-04-28 16:03:22 CDT
5.92,2023-04-28 16:03:23 CDT
8.43,2023-04-28 16:03:24 CDT
7.42,2023-04-28 16:03:25 CDT
7.29,2023-04-28 16:03:26 CDT
9.05,2023-04-28 16:03:27 CDT
9.79,2023-04-28 16:03:28 CDT
8.55,2023-04-28 16:03:29 CDT
8.91,2023-04-28 16:03:30 CDT
6.51,2023-04-28 16:03:31 CDT
8.77,2023-04-28 16:03:32 CDT
7.62,2023-04-28 16:03:33 CDT
8.92,2023-04-28 16:03:34 CDT
8.71,2023-04-28 16:03:35 CDT
9.66,2023-04-28 16:03:36 CDT
11.1,2023-04-28 16:03:37 CDT
10.8,2023-04-28 16:03:38 CDT
11.4,2023-04-28 16:03:39 CDT
14.7,2023-04-28 16:03:40 CDT
8.87,2023-04-28 16:03:41 CDT
6.43,2023-04-28 16:03:42 CDT
8.32,2023-04-28 16:03:43 CDT
7.55,2023-04-28 16:03:44 CDT
6.76,2023-04-28 16:03:45 CDT
7.8,2023-04-28 16:03:46 CDT
8.65,2023-04-28 16:03:47 CDT
6.69,2023-04-28 16:03:48 CDT
6.45,2023-04-28 16:03:49 CDT
8.02,2023-04-28 16:03:50 CDT
9.04,2023-04-28 16:03:51 CDT
8.75,2023-04-28 16:03:52 CDT
7.87,2023-04-28 16:03:53 CDT
7.81,2023-04-28 16:03:54 CDT
9.49,2023-04-28 16:03:55 CDT
8.43,2023-04-28 16:03:56 CDT
7.95,2023-04-28 16:03:57 CDT
8.98,2023-04-28 16:03:58 CDT
6.79,2023-04-28 16:03:59 CDT
7.75,2023-04-28 16:04:00 CDT
5.84,2023-04-28 16:04:01 CDT
4.5,2023-04-28 16:04:02 CDT
4.35,2023-04-28 16:04:03 CDT
4.92,2023-04-28 16:04:04 CDT
4.82,2023-04-28 16:04:05 CDT
