Bitrate,Time
11.9,2023-04-28 11:00:13 CDT
19.3,2023-04-28 11:00:14 CDT
27.9,2023-04-28 11:00:15 CDT
44.3,2023-04-28 11:00:16 CDT
64.9,2023-04-28 11:00:17 CDT
48.3,2023-04-28 11:00:18 CDT
57.6,2023-04-28 11:00:19 CDT
60.1,2023-04-28 11:00:20 CDT
68.5,2023-04-28 11:00:21 CDT
69.6,2023-04-28 11:00:22 CDT
82.2,2023-04-28 11:00:23 CDT
79.8,2023-04-28 11:00:24 CDT
96.4,2023-04-28 11:00:25 CDT
62.6,2023-04-28 11:00:26 CDT
61.5,2023-04-28 11:00:27 CDT
87.8,2023-04-28 11:00:28 CDT
98.1,2023-04-28 11:00:29 CDT
56.3,2023-04-28 11:00:30 CDT
30.1,2023-04-28 11:00:31 CDT
85.9,2023-04-28 11:00:32 CDT
97.8,2023-04-28 11:00:33 CDT
103.0,2023-04-28 11:00:34 CDT
109.0,2023-04-28 11:00:35 CDT
67.8,2023-04-28 11:00:36 CDT
37.2,2023-04-28 11:00:37 CDT
41.6,2023-04-28 11:00:38 CDT
24.4,2023-04-28 11:00:39 CDT
32.6,2023-04-28 11:00:40 CDT
33.8,2023-04-28 11:00:41 CDT
25.2,2023-04-28 11:00:42 CDT
31.7,2023-04-28 11:00:43 CDT
27.4,2023-04-28 11:00:44 CDT
40.2,2023-04-28 11:00:45 CDT
23.3,2023-04-28 11:00:46 CDT
27.4,2023-04-28 11:00:47 CDT
4.15,2023-04-28 11:00:48 CDT
0.0,2023-04-28 11:00:49 CDT
11.2,2023-04-28 11:00:50 CDT
9.95,2023-04-28 11:00:51 CDT
8.15,2023-04-28 11:00:52 CDT
2.63,2023-04-28 11:00:53 CDT
14.2,2023-04-28 11:00:54 CDT
12.5,2023-04-28 11:00:55 CDT
18.4,2023-04-28 11:00:56 CDT
12.7,2023-04-28 11:00:57 CDT
15.8,2023-04-28 11:00:58 CDT
6.89,2023-04-28 11:00:59 CDT
5.25,2023-04-28 11:01:00 CDT
