Bitrate,Time
33.3,2023-04-27 14:14:16 CDT
23.5,2023-04-27 14:14:17 CDT
7.69,2023-04-27 14:14:18 CDT
11.5,2023-04-27 14:14:19 CDT
16.9,2023-04-27 14:14:20 CDT
14.9,2023-04-27 14:14:21 CDT
16.6,2023-04-27 14:14:22 CDT
8.69,2023-04-27 14:14:23 CDT
12.2,2023-04-27 14:14:24 CDT
14.2,2023-04-27 14:14:25 CDT
1.01,2023-04-27 14:14:26 CDT
13.0,2023-04-27 14:14:27 CDT
7.59,2023-04-27 14:14:28 CDT
13.4,2023-04-27 14:14:29 CDT
14.3,2023-04-27 14:14:30 CDT
2.22,2023-04-27 14:14:31 CDT
0.0,2023-04-27 14:14:32 CDT
0.0,2023-04-27 14:14:33 CDT
0.0,2023-04-27 14:14:34 CDT
0.0,2023-04-27 14:14:35 CDT
0.0,2023-04-27 14:14:36 CDT
0.0,2023-04-27 14:14:37 CDT
0.0,2023-04-27 14:14:38 CDT
0.0,2023-04-27 14:14:39 CDT
0.0,2023-04-27 14:14:40 CDT
12.2,2023-04-27 14:14:41 CDT
16.7,2023-04-27 14:14:42 CDT
19.0,2023-04-27 14:14:43 CDT
21.7,2023-04-27 14:14:44 CDT
23.8,2023-04-27 14:14:45 CDT
23.7,2023-04-27 14:14:46 CDT
26.5,2023-04-27 14:14:47 CDT
25.6,2023-04-27 14:14:48 CDT
28.3,2023-04-27 14:14:49 CDT
35.7,2023-04-27 14:14:50 CDT
26.2,2023-04-27 14:14:51 CDT
24.0,2023-04-27 14:14:52 CDT
24.0,2023-04-27 14:14:53 CDT
27.5,2023-04-27 14:14:54 CDT
29.0,2023-04-27 14:14:55 CDT
1.88,2023-04-27 14:14:56 CDT
10.6,2023-04-27 14:14:57 CDT
25.2,2023-04-27 14:14:58 CDT
23.7,2023-04-27 14:14:59 CDT
23.4,2023-04-27 14:15:00 CDT
25.9,2023-04-27 14:15:01 CDT
25.8,2023-04-27 14:15:02 CDT
27.8,2023-04-27 14:15:03 CDT
26.0,2023-04-27 14:15:04 CDT
10.5,2023-04-27 14:15:05 CDT
17.3,2023-04-27 14:15:06 CDT
27.2,2023-04-27 14:15:07 CDT
25.9,2023-04-27 14:15:08 CDT
29.7,2023-04-27 14:15:09 CDT
13.8,2023-04-27 14:15:10 CDT
8.86,2023-04-27 14:15:11 CDT
20.6,2023-04-27 14:15:12 CDT
15.0,2023-04-27 14:15:13 CDT
15.7,2023-04-27 14:15:14 CDT
8.96,2023-04-27 14:15:15 CDT
15.2,2023-04-27 14:15:16 CDT
16.2,2023-04-27 14:15:17 CDT
18.6,2023-04-27 14:15:18 CDT
22.2,2023-04-27 14:15:19 CDT
10.2,2023-04-27 14:15:20 CDT
16.1,2023-04-27 14:15:21 CDT
18.7,2023-04-27 14:15:22 CDT
2.73,2023-04-27 14:15:23 CDT
5.29,2023-04-27 14:15:24 CDT
6.48,2023-04-27 14:15:25 CDT
0.521,2023-04-27 14:15:26 CDT
7.78,2023-04-27 14:15:27 CDT
10.8,2023-04-27 14:15:28 CDT
10.4,2023-04-27 14:15:29 CDT
7.4,2023-04-27 14:15:30 CDT
7.71,2023-04-27 14:15:31 CDT
6.42,2023-04-27 14:15:32 CDT
7.45,2023-04-27 14:15:33 CDT
7.97,2023-04-27 14:15:34 CDT
6.42,2023-04-27 14:15:35 CDT
9.34,2023-04-27 14:15:36 CDT
1.8,2023-04-27 14:15:37 CDT
0.0,2023-04-27 14:15:38 CDT
0.0,2023-04-27 14:15:39 CDT
0.0,2023-04-27 14:15:40 CDT
0.0347,2023-04-27 14:15:41 CDT
6.09,2023-04-27 14:15:42 CDT
12.1,2023-04-27 14:15:43 CDT
14.4,2023-04-27 14:15:44 CDT
19.8,2023-04-27 14:15:45 CDT
25.0,2023-04-27 14:15:46 CDT
40.7,2023-04-27 14:15:47 CDT
42.5,2023-04-27 14:15:48 CDT
7.88,2023-04-27 14:15:49 CDT
15.8,2023-04-27 14:15:50 CDT
25.6,2023-04-27 14:15:51 CDT
33.0,2023-04-27 14:15:52 CDT
42.0,2023-04-27 14:15:53 CDT
11.2,2023-04-27 14:15:54 CDT
32.1,2023-04-27 14:15:55 CDT
33.7,2023-04-27 14:15:56 CDT
30.8,2023-04-27 14:15:57 CDT
32.1,2023-04-27 14:15:58 CDT
11.1,2023-04-27 14:15:59 CDT
24.4,2023-04-27 14:16:00 CDT
14.5,2023-04-27 14:16:01 CDT
17.4,2023-04-27 14:16:02 CDT
16.0,2023-04-27 14:16:03 CDT
9.59,2023-04-27 14:16:04 CDT
9.86,2023-04-27 14:16:05 CDT
16.0,2023-04-27 14:16:06 CDT
21.9,2023-04-27 14:16:07 CDT
22.2,2023-04-27 14:16:08 CDT
4.25,2023-04-27 14:16:09 CDT
21.6,2023-04-27 14:16:10 CDT
20.9,2023-04-27 14:16:11 CDT
25.5,2023-04-27 14:16:12 CDT
27.5,2023-04-27 14:16:13 CDT
11.1,2023-04-27 14:16:14 CDT
18.0,2023-04-27 14:16:15 CDT
27.2,2023-04-27 14:16:16 CDT
31.6,2023-04-27 14:16:17 CDT
33.4,2023-04-27 14:16:18 CDT
11.6,2023-04-27 14:16:19 CDT
17.4,2023-04-27 14:16:20 CDT
24.6,2023-04-27 14:16:21 CDT
23.0,2023-04-27 14:16:22 CDT
24.4,2023-04-27 14:16:23 CDT
19.4,2023-04-27 14:16:24 CDT
20.1,2023-04-27 14:16:25 CDT
4.83,2023-04-27 14:16:26 CDT
12.5,2023-04-27 14:16:27 CDT
13.4,2023-04-27 14:16:28 CDT
15.8,2023-04-27 14:16:29 CDT
16.3,2023-04-27 14:16:30 CDT
15.8,2023-04-27 14:16:31 CDT
19.5,2023-04-27 14:16:32 CDT
2.14,2023-04-27 14:16:33 CDT
7.01,2023-04-27 14:16:34 CDT
6.27,2023-04-27 14:16:35 CDT
11.5,2023-04-27 14:16:36 CDT
9.77,2023-04-27 14:16:37 CDT
12.5,2023-04-27 14:16:38 CDT
14.8,2023-04-27 14:16:39 CDT
6.56,2023-04-27 14:16:40 CDT
0.718,2023-04-27 14:16:41 CDT
13.6,2023-04-27 14:16:42 CDT
31.2,2023-04-27 14:16:43 CDT
51.4,2023-04-27 14:16:44 CDT
19.0,2023-04-27 14:16:45 CDT
33.2,2023-04-27 14:16:46 CDT
47.6,2023-04-27 14:16:47 CDT
61.7,2023-04-27 14:16:48 CDT
65.7,2023-04-27 14:16:49 CDT
14.9,2023-04-27 14:16:50 CDT
0.0,2023-04-27 14:16:51 CDT
0.0,2023-04-27 14:16:52 CDT
0.0,2023-04-27 14:16:53 CDT
0.0,2023-04-27 14:16:54 CDT
0.0,2023-04-27 14:16:55 CDT
0.0,2023-04-27 14:16:56 CDT
0.0,2023-04-27 14:16:57 CDT
0.0,2023-04-27 14:16:58 CDT
0.0,2023-04-27 14:16:59 CDT
0.0,2023-04-27 14:17:00 CDT
0.0,2023-04-27 14:17:01 CDT
0.0,2023-04-27 14:17:02 CDT
0.0,2023-04-27 14:17:03 CDT
0.0,2023-04-27 14:17:04 CDT
0.0,2023-04-27 14:17:05 CDT
0.0,2023-04-27 14:17:06 CDT
0.0,2023-04-27 14:17:07 CDT
0.0,2023-04-27 14:17:08 CDT
0.0,2023-04-27 14:17:09 CDT
0.0,2023-04-27 14:17:10 CDT
0.0,2023-04-27 14:17:11 CDT
0.544,2023-04-27 14:17:12 CDT
10.1,2023-04-27 14:17:13 CDT
13.0,2023-04-27 14:17:14 CDT
7.84,2023-04-27 14:17:15 CDT
18.2,2023-04-27 14:17:16 CDT
10.8,2023-04-27 14:17:17 CDT
18.4,2023-04-27 14:17:18 CDT
22.0,2023-04-27 14:17:19 CDT
12.7,2023-04-27 14:17:20 CDT
7.37,2023-04-27 14:17:21 CDT
6.35,2023-04-27 14:17:22 CDT
8.74,2023-04-27 14:17:23 CDT
4.22,2023-04-27 14:17:24 CDT
5.61,2023-04-27 14:17:25 CDT
0.748,2023-04-27 14:17:26 CDT
3.56,2023-04-27 14:17:27 CDT
7.32,2023-04-27 14:17:28 CDT
10.9,2023-04-27 14:17:29 CDT
10.0,2023-04-27 14:17:30 CDT
10.2,2023-04-27 14:17:31 CDT
5.48,2023-04-27 14:17:32 CDT
10.4,2023-04-27 14:17:33 CDT
9.55,2023-04-27 14:17:34 CDT
5.19,2023-04-27 14:17:35 CDT
0.0,2023-04-27 14:17:36 CDT
0.0,2023-04-27 14:17:37 CDT
